11:30|The boys' loud laughter turned into groans, however, when he coldly informed them they would have school all afternoon that day instead of the usual 8:00 to <b>11:30</b>.|Bright Valley of Love|Edna Hong
11:30|At <b>11:30 A.M.</b>, Charlie ran out the school’s front door, jumped, and cleared all six concrete steps. He tore down the walk as fast as he could, his Red-Ball Jets slapping the pavement all the way to the street.|Blue Springs|Peter Rennebohm
11:30|It was Tuesday-my half day-and at <b>11:30 a.m.</b> a call came in. An eversion of the uterus in a cow. This is the tough job in the country practice and I felt the usual chill.|All Creatures Great and Small|James Herriot
11:30|Five minutes later another truck pulls up behind the first. On the side of this one is a grinning cartoon boy woofing down a double cheeseburger. At <b>eleven-thirty</b>, while people are lined up for burgers and fries and tacos and enchiladas, a hotdog wagon appears.|Billy Summers|Stephen King
11:30|I woke up in a panic, not screaming, just a groan from deep in my throat. I’d dozed off in the hard plastic chair by the window. The clock above the door showed <b>11:30</b> and the ICU was dead silent. Adrenaline supply not yet depleted, I staggered to my feet.|Echo|Thomas Olde Heuvelt
11:30|And so it was that around <b>half past eleven</b>, I found myself riding down to the Village on the Fifth Avenue bus with the street address of Hobart and Blackwell in my pocket, written on a page from one of the monogrammed notepads Mrs Barbour kept by the telephone.|The Goldfinch|Donna Tartt
11:30|“The extraordinary thing is,” he told Livia at <b>eleven-thirty</b>, “you seem to be the only applicant. Or at least, the only one who’s showed up.”|The Wedding Officer|Anthony Capella
11:30|It is now <b>11.30</b>. The door to this room is shut, and will remain shut, barring emergencies, until 12.00. I am authorised to inform you that we are now under battle orders.|Singularity Sky|Charles Stross
11:30|O, Frank - I made a mistake! - I thought that church with the spire was All Saints', and I was at the door at <b>half-past eleven</b> to a minute as you said.|Far From the Maddening Crowd|Thomas Hardy
11:30|Thank-you, said C.B. quietly; but as he hung up his face was grim. In a few minutes he would have to break it to John that, although they had braved such dreadful perils dring the earlier part of the night they had, after all, failed to save Christina. Beddows had abjured Satan at a little after <b>half-past eleven</b>. By about eighteen minutes the Canon had beaten them to it again.|To the Devil a Daughter|Dennis Wheatley
11:30|This time it was Kumiko. The wall clock said <b>11.30</b>.|The Wind-up Bird Chronicle|Haruki Murakami
11:30|About <b>11:30</b> this morning I asked her if she was going to fix anything for Thanksgiving, and she looked at me like she didn't even know what I was talking about.|Don't You Dare Read This, Mrs. Dunphrey|Margaret Peterson Haddix
