21:00|They who had to go to bed so punctually, for whom the lights went out at nine o'clock, could stay at Obermeier Farm until the fireflies and the stars came out-until the Chinese lanterns were lit and they could walk once more about the farm with their jovial host and hostess with these beautiful, swaying, colored lights.|Bright Valley of Love|Edna Hong
21:00|The storm held off until nine o’clock, and by then Anderson was pretty sure they were going to have a good one - what Havenites called “a real Jeezer.”|The Tommyknockers|Stephen King
21:00|The clock struck nine when I did send the Nurse.<br>In half an hour she promised to return.|Romeo and Juliet|William Shakespeare
21:00|It was almost 9:00 P.M. The full moon was blurred by drifting mist, and their blunted shadows led them across an open field, toward dark woods beyond.|Jurassic Park|Michael Crichton
21:00|By nine o’clock Saturday night Lakeside Avenue, the main street, was thronged with some four thousand beer-drinking tourists, about half riding motorcycles.|Hell’s Angel|Hunter S. Thompson
21:00|It was nine o’clock in the evening, in Blackbury High Street.<br>In the window of the electrical shop, nine TVs showed the same picture. Nine televisions projected their flickering screens at the empty air.|Johnny and the Bomb|Terry Pratchett
21:00|He turned away from the window, his arms rashed out in gooseflesh. He’d gotten a sandwich from the Red Apple store and had planned to eat it while he started the John Sandford paperback he’d also picked up at the Red Apple, but after a few bites he rewrapped the sandwich and put it on the windowsill, where it would stay cold. He might eat the rest later, although he didn’t think he’d be staying up much past nine tonight; if he got a hundred pages into the book, he’d be doing well.|Doctor Sleep|Stephen King
21:00|Anyhow, this all took place on a windy night in the beginning of October. It was actually kind of steamy for the time of year. A swarm of mosquitos buzzed around in the evening, and I remember burning a couple of mosquito-repellent coils to keep them away. The wind was noisy. The gate to the swimming pool was broken and the wind made the gate slap open and shut. I thought of fixing it, but it was too dark out, so it kept banging all night.<br>My nine p.m. round went by fine, all twenty items on my list nearly checked off.|Blind Willow, Sleeping Woman|Haruki Murakami
21:00|He keeps smiling all the time, smiling like a rosy little bedbug that has had its fill. “It was nine o’clock,” he says once again, “when I called you up, wasn’t it?” I nod my head wearily. Yes, it was nine o’clock. He is certain now that it was nine o’clock because he remembers having taken out his watch.|Tropic of Cancer|Henry Miller
21:00|At nine o’clock, I called again. He answered.<br>“What do you want?” he asked.<br>“I was hoping to hear you say you miss me.”<br>“I miss you,” he said. “Is that it?”<br>I hung up.|My Year of Rest and Relaxation|Ottessa Moshfegh
21:00|Someone left a collection of books out on the curb one day on East Seventy-seventh Street, and I brought them home and read them all cover to cover. A history of drunk driving in America. An Indian cookbook. 𝘞𝘢𝘳 𝘢𝘯𝘥 𝘗𝘦𝘢𝘤𝘦. 𝘔𝘢𝘰 𝘐𝘐. 𝘐𝘵𝘢𝘭𝘪𝘢𝘯 𝘧𝘰𝘳 𝘋𝘶𝘮𝘮𝘪𝘦𝘴. A book of Mad Libs that I filled in myself using the simplest words I could think of. I passed the days like this for four or five weeks. I did not buy a cell phone. I got rid of the old mattress. Every night at nine I lay down on the smooth hardwood floor with a stretch and a yawn, and I had no trouble sleeping.|My Year of Rest and Relaxation|Ottessa Moshfegh
21:00|About nine o’clock the light among the trees was extinguished, and all was dark in the direction of the Manor House.|The Adventures of Sherlock Holmes|Sir Arthur Conan Doyle
21:00|She stared back, surprised and confused. Then defiant. Abruptly she closed the laptop, stuffed it in her bag. She withdrew a pen and scribbled an address on a napkin. “If you change your mind,” she said stiffly, standing, “I will be at this location between eight o’clock and nine o’clock tonight.”|The Catacombs|Jeremy Bates
21:00|However, at nine o’clock the prince, in his velvet coat with a sable collar and cap, went out for his usual walk.|War and Peace|Leo Tolstoy
21:00|At nine o’clock, Emily Brent rose to her feet.<br>She said:<br>“I’m going to bed.”|And Then There Were None|Agatha Christie
