20:20|8:20|At each end of the forecourt the two great globes of light supported by bronze dolphins threw shining pools on the heaving surface of the water which as she watched shimmered like a great cloak of black satin, shaken, smoothed and gently billowed by an invisible hand. Mandy glanced at her watch: 8:20.|Original Sin|P.D. James
20:20|twenty past eight|Again the boy knocked. Again there was no response. Gabriel watched and suffered with him until, at twenty past eight, the boy finally gave up and turned away.|The Mistletoe Murder|P.D. James
20:20|Eight-twenty|Eight-twenty the cards and puzzles go out. . . .|One Flew Over the Cuckoo’s Nest|Ken Kesey
20:20|8.20 p.m.|8.20 p.m. Play computer games|The Curious Incident of the Dog in the Night-Time|Mark Haddon
20:20|20.20|At 20.20 all ships had completed oiling. Hove to, they had had the utmost difficulty in keeping position in that great wind; but they were infinitely safer than in the open sea|H.M.S. Ulysses|Alistair MacLean
20:20|twenty minutes past eight|Knowing that the dinner was only for us six, we never dreamed it would be a full dress affair. I had no appetite. It was quite twenty minutes past eight before we sat down to dinner.|Diary of a Nobody|George and Weedon Grossmith
