00:32|"Meticulously he noted the time by the wall clock over the fireplace and made a record in his book. ""12:32 Mr. Courtney-Brigs reports fallen tree across the Winchester Road path."""|Shroud for a Nightingale|P.D. James
00:32|Thirty-two minutes past midnight; the way things were going I could be at it all night. Before beginning a completely new search of the dial I had a thought: maybe this safe didn't open on zero as older models did, but on a factory-set number.|Ixtapa|Everette Howard Hunt
