10:02|10:02|10:02, her eyes rested for a split second on every person who came in.|The Sins of the Father|Jeffrey Archer
10:02|two minutes after ten|It was two minutes after ten; she was not satisfied with her clothes, her face, her apartment. She heated the coffee again and sat down in the chair by the window. Can't do anything more now, she thought, no sense trying to improve anything the last minute.|The Daemon Lover|Shirley Jackson
