16:35|"“The plane you require does not leave Sheremetyevo Airport until <b>four thirty-five</b>. In any case, I have already booked two seats on it for you.”
“Two?” inquired Romanov.
“You will obviously need an expert to accompany you, unless you know considerably more about icons than you do about banking,” Poskonov added."|A Matter of Honor|Jeffrey Archer
16:35|The Voice shut itself off with a click, and then reopened conversation by announcing the arrival at Platform 9 of the <b>4.35</b> from Birmingham and Wolverhampton.|4.50 from Paddington|Agatha Christie
