13:20|Gerard and I took the launch to Greenwich and had a pub lunch at the Trafalgar Tavern, but we didn't leave here until <b>twenty past one</b>.|Original Sin|P.D. James
13:20|"Kamarov, signal to Purga: Diving at—,"" he checked his watch, ""—<b>1320 hours</b>. Exercise OCTOBER FROST begins as scheduled. You are released to other assigned duties. We will return as scheduled."" 
 Kamarov worked the trigger on the blinker light to transmit the message. The Purga responded at once, and Ramius read the flashing signal unaided: ""IF THE WHALES DON'T EAT YOU. GOOD LUCK TO RED OCTOBER!"""|The Hunt for Red October|Tom Clancy
13:20|The time is coming for action. Today this Vampire is limit to the powers of man, and till sunset he may not change. It will take him time to arrive here, see it is <b>twenty minutes past one</b>, and there are yet some times before he can hither come, be he never so quick.|Dracula|Bram Stoker
