23:02|11:02|“Yes.” Perena’s firm tone brooked no argument. “It exploded at 11:07. You would have entered at 11:02, so that by then you would have been exactly midway between the Gates.”|The Shadow and Night|Chris Walley
23:02|11:02 P.M.|I ended the call. I looked in Recents to make sure I HAD called. His number was there, along with the time - 11:02 P.M. I turned off my phone and put it on the night table. I turned off my lamp and was asleep almost at once.|If It Bleeds|Stephen King
